accession	biosample_term	biosample_id	biosample_type	model
ENCSR613EZS	placenta	UBERON:0001987	tissue	DNase-only
ENCSR624FDG	placenta	UBERON:0001987	tissue	DNase-only
ENCSR683EHD	placenta	UBERON:0001987	tissue	DNase-only
ENCSR705QYZ	placenta	UBERON:0001987	tissue	DNase-only
ENCSR793GWX	placenta	UBERON:0001987	tissue	DNase-only
ENCSR866SVY	placenta	UBERON:0001987	tissue	DNase-only
ENCSR952CHI	placenta	UBERON:0001987	tissue	DNase-only
ENCSR965BSR	placenta	UBERON:0001987	tissue	DNase-only
ENCSR752WRO	pons	UBERON:0000988	tissue	DNase-only
ENCSR006VBD	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR026UHA	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR031KRW	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR034TGA	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR106NBD	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR196SOF	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR199UNC	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR297ZRG	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR326WEF	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR328ZES	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR332HRZ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR336YYB	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR365PGQ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR374TCY	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR386QUK	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR408RPS	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR409KGF	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR428XIB	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR467FCA	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR485AJM	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR518BYD	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR520WFC	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR531BGV	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR537DDI	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR556APZ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR583KIA	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR604CQU	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR643DYF	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR689QMJ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR702MMO	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR702UZO	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR706ZYQ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR714MYG	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR731QZB	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR746UEY	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR752ANI	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR774BOY	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR783RXJ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR817AQF	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR826FTX	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR850JPM	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR855LWK	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR881UIQ	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR913WNG	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR924FCG	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR940LMH	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR982EZK	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR983PAA	posterior cingulate gyrus	UBERON:0002740	tissue	DNase-only
ENCSR321IYW	posterior vena cava	UBERON:0001072	tissue	DNase-only
ENCSR574TBL	progenitor cell of endocrine pancreas	CL:0002351	in vitro differentiated cells	DNase-only
ENCSR684OZL	prostate gland	UBERON:0002367	tissue	DNase-only
ENCSR152LHK	psoas muscle	UBERON:0008450	tissue	DNase-only
ENCSR184IHJ	psoas muscle	UBERON:0008450	tissue	DNase-only
ENCSR541DFT	psoas muscle	UBERON:0008450	tissue	DNase-only
ENCSR667UIA	psoas muscle	UBERON:0008450	tissue	DNase-only
ENCSR721MYX	psoas muscle	UBERON:0008450	tissue	DNase-only
ENCSR959EGT	pulmonary artery endothelial cell	CL:1001568	primary cell	DNase-only
ENCSR639WRL	putamen	UBERON:0001874	tissue	DNase-only
ENCSR095HLE	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR100EUL	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR280VQO	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR285AMD	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR458LPO	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR462ZSD	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR517URS	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR537JGP	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR575IPS	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR588WNM	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR913MBX	renal cortex interstitium	UBERON:0005270	tissue	DNase-only
ENCSR670TXW	renal cortical epithelial cell	CL:0002584	primary cell	DNase-only
ENCSR076VYG	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR392IWG	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR419RQY	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR442MAQ	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR478WXB	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR805SPG	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR862QXB	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR868EBW	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR927TUT	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR983CLV	renal pelvis	UBERON:0001224	tissue	DNase-only
ENCSR330LJB	retina	UBERON:0000966	tissue	DNase-only
ENCSR617GWV	retina	UBERON:0000966	tissue	DNase-only
ENCSR814UUJ	retina	UBERON:0000966	tissue	DNase-only
ENCSR364EUW	retinal pigment epithelial cell	CL:0002586	primary cell	DNase-only
ENCSR163RFQ	right atrium auricular region	UBERON:0006631	tissue	DNase-only
ENCSR392RLO	right atrium auricular region	UBERON:0006631	tissue	DNase-only
ENCSR155PMI	right cardiac atrium	UBERON:0002078	tissue	DNase-only
ENCSR264NNN	right cardiac atrium	UBERON:0002078	tissue	DNase-only
ENCSR708GWO	right cardiac atrium	UBERON:0002078	tissue	DNase-only
ENCSR556ZUC	right forelimb	UBERON:8300001	tissue	DNase-only
ENCSR848YIG	right hindlimb	UBERON:8300003	tissue	DNase-only
ENCSR095SOW	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR176ONU	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR401XBQ	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR416SGQ	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR725IQG	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR788VPF	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR800AUJ	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR906ZPR	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR913QEP	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR962XJQ	right kidney	UBERON:0004539	tissue	DNase-only
ENCSR045MDC	right lobe of liver	UBERON:0001114	tissue	DNase-only
ENCSR183YXK	right lobe of liver	UBERON:0001114	tissue	DNase-only
ENCSR301IGZ	right lobe of liver	UBERON:0001114	tissue	DNase-only
ENCSR588DXH	right lobe of liver	UBERON:0001114	tissue	DNase-only
ENCSR845CMR	right lobe of liver	UBERON:0001114	tissue	DNase-only
ENCSR126NWL	right lung	UBERON:0002167	tissue	DNase-only
ENCSR195XPU	right lung	UBERON:0002167	tissue	DNase-only
ENCSR235FVW	right lung	UBERON:0002167	tissue	DNase-only
ENCSR359DFW	right lung	UBERON:0002167	tissue	DNase-only
ENCSR373JRG	right lung	UBERON:0002167	tissue	DNase-only
ENCSR481BBB	right lung	UBERON:0002167	tissue	DNase-only
ENCSR573MAK	right lung	UBERON:0002167	tissue	DNase-only
ENCSR810XCU	right lung	UBERON:0002167	tissue	DNase-only
ENCSR814UZN	right lung	UBERON:0002167	tissue	DNase-only
ENCSR910TKY	right lung	UBERON:0002167	tissue	DNase-only
ENCSR928UQP	right lung	UBERON:0002167	tissue	DNase-only
ENCSR073XXR	right renal cortex interstitium	UBERON:0018118	tissue	DNase-only
ENCSR263ZDA	right renal cortex interstitium	UBERON:0018118	tissue	DNase-only
ENCSR448KEL	right renal cortex interstitium	UBERON:0018118	tissue	DNase-only
ENCSR393PMZ	right renal pelvis	UBERON:0018116	tissue	DNase-only
ENCSR503SHG	right renal pelvis	UBERON:0018116	tissue	DNase-only
ENCSR637JFZ	right renal pelvis	UBERON:0018116	tissue	DNase-only
ENCSR843GRX	right renal pelvis	UBERON:0018116	tissue	DNase-only
ENCSR460HAQ	sciatic nerve	UBERON:0001322	tissue	DNase-only
ENCSR335WGH	sigmoid colon	UBERON:0001159	tissue	DNase-only
ENCSR856UML	sigmoid colon	UBERON:0001159	tissue	DNase-only
ENCSR957VNY	sigmoid colon	UBERON:0001159	tissue	DNase-only
ENCSR443ENA	skeletal muscle cell	CL:0000188	primary cell	DNase-only
ENCSR517NRJ	skeletal muscle myoblast	CL:0000515	primary cell	DNase-only
ENCSR821CNM	skin of body	UBERON:0002097	tissue	DNase-only
ENCSR044WZN	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR063ILZ	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR212NBX	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR303XCY	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR324PUT	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR385AKL	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR447AAI	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR602SFS	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR607MPQ	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR690NZD	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR722XEP	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR792KRO	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR868VGK	small intestine	UBERON:0002108	tissue	DNase-only
ENCSR643RBO	smooth muscle cell of the brain vasculature	CL:0002590	primary cell	DNase-only
ENCSR390BHP	spinal cord	UBERON:0002240	tissue	DNase-only
ENCSR446TXA	spinal cord	UBERON:0002240	tissue	DNase-only
ENCSR742EQG	spinal cord	UBERON:0002240	tissue	DNase-only
ENCSR794OXM	spinal cord	UBERON:0002240	tissue	DNase-only
ENCSR821ZMY	spinal cord	UBERON:0002240	tissue	DNase-only
ENCSR846YTV	spinal cord	UBERON:0002240	tissue	DNase-only
ENCSR277CMT	spleen	UBERON:0002106	tissue	DNase-only
ENCSR426ZDZ	spleen	UBERON:0002106	tissue	DNase-only
ENCSR576MTU	spleen	UBERON:0002106	tissue	DNase-only
ENCSR657WIH	spleen	UBERON:0002106	tissue	DNase-only
ENCSR674DKQ	spleen	UBERON:0002106	tissue	DNase-only
ENCSR006OUR	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR028OMO	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR071XLF	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR115NZJ	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR135RVI	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR136HBC	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR136RRJ	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR140ULV	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR142IYT	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR147TQJ	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR149GUM	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR193KXI	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR198BXD	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR222IQS	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR255WME	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR256LQV	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR267LWP	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR301JME	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR321WIU	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR329GLF	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR358NNO	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR389CYV	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR393ZNM	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR439ZQU	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR455HYG	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR469LLJ	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR478FRK	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR505ELV	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR521ZKY	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR528XEF	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR530FUX	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR534ILE	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR568RIC	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR575ICN	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR579QEN	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR640FPA	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR641TVU	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR671EOF	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR684GVK	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR686KWJ	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR687CON	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR699VBU	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR701XQS	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR764SEA	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR774ZES	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR809DGT	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR831IJO	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR837REH	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR842NTB	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR845BJH	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR897AAG	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR904NPU	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR908LYB	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR908RON	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR933SFC	stimulated activated CD4-positive, alpha-beta T cell	NTR:0000663	primary cell	DNase-only
ENCSR081RER	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR164XKU	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR233ZHZ	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR274DJN	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR282FRQ	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR336UXE	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR407ZOC	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR463ETY	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR508BHW	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR524LBS	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR615FPM	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR658AVY	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR692TGS	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR705OMO	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR721QAR	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR724ICL	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR756WOT	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR781KVT	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR788QFX	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR788UZE	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR792RWW	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR807PJV	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR853VWL	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR863JSX	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR909CMY	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR914NYI	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR943NWA	stimulated activated CD8-positive, alpha-beta memory T cell	NTR:0000669	primary cell	DNase-only
ENCSR132MYN	stimulated activated effector memory CD8-positive, alpha-beta T cell	NTR:0000668	primary cell	DNase-only
ENCSR691JHR	stimulated activated effector memory CD8-positive, alpha-beta T cell	NTR:0000668	primary cell	DNase-only
ENCSR111PUZ	stimulated activated naive B cell	NTR:0000661	primary cell	DNase-only
ENCSR018IUX	stimulated activated naive CD8-positive, alpha-beta T cell	NTR:0000667	primary cell	DNase-only
ENCSR251NWI	stimulated activated naive CD8-positive, alpha-beta T cell	NTR:0000667	primary cell	DNase-only
ENCSR573TSU	stimulated activated naive CD8-positive, alpha-beta T cell	NTR:0000667	primary cell	DNase-only
ENCSR045AMF	stomach	UBERON:0000945	tissue	DNase-only
ENCSR046CKU	stomach	UBERON:0000945	tissue	DNase-only
ENCSR094PBV	stomach	UBERON:0000945	tissue	DNase-only
ENCSR184WWA	stomach	UBERON:0000945	tissue	DNase-only
ENCSR189XXA	stomach	UBERON:0000945	tissue	DNase-only
ENCSR246LLE	stomach	UBERON:0000945	tissue	DNase-only
ENCSR266DOK	stomach	UBERON:0000945	tissue	DNase-only
ENCSR318PXA	stomach	UBERON:0000945	tissue	DNase-only
ENCSR329ZVK	stomach	UBERON:0000945	tissue	DNase-only
ENCSR342RWQ	stomach	UBERON:0000945	tissue	DNase-only
ENCSR406ZWT	stomach	UBERON:0000945	tissue	DNase-only
ENCSR440CSE	stomach	UBERON:0000945	tissue	DNase-only
ENCSR464EVX	stomach	UBERON:0000945	tissue	DNase-only
ENCSR516CNX	stomach	UBERON:0000945	tissue	DNase-only
ENCSR538FSP	stomach	UBERON:0000945	tissue	DNase-only
ENCSR588VNM	stomach	UBERON:0000945	tissue	DNase-only
ENCSR677ZHE	stomach	UBERON:0000945	tissue	DNase-only
ENCSR737XPT	stomach	UBERON:0000945	tissue	DNase-only
ENCSR801RPE	stomach	UBERON:0000945	tissue	DNase-only
ENCSR848DFI	stomach	UBERON:0000945	tissue	DNase-only
ENCSR850SEU	stomach	UBERON:0000945	tissue	DNase-only
ENCSR457ADT	stromal cell of bone marrow	CL:0010001	primary cell	DNase-only
ENCSR411DDW	superior temporal gyrus	UBERON:0002769	tissue	DNase-only
ENCSR083UVL	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR209KSA	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR792GLQ	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR860MGE	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR888GPU	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR921ZVQ	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR947DQU	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR991BVI	suppressor macrophage	CL:0000862	primary cell	DNase-only
ENCSR439IHT	suprapubic skin	UBERON:0036149	tissue	DNase-only
ENCSR478AZK	suprapubic skin	UBERON:0036149	tissue	DNase-only
ENCSR025QUQ	testis	UBERON:0000473	tissue	DNase-only
ENCSR324QTX	testis	UBERON:0000473	tissue	DNase-only
ENCSR445ZXK	testis	UBERON:0000473	tissue	DNase-only
ENCSR944ILJ	testis	UBERON:0000473	tissue	DNase-only
ENCSR079NCN	thoracic aorta	UBERON:0001515	tissue	DNase-only
ENCSR113VDK	thymus	UBERON:0002370	tissue	DNase-only
ENCSR152FIL	thymus	UBERON:0002370	tissue	DNase-only
ENCSR179VWV	thymus	UBERON:0002370	tissue	DNase-only
ENCSR205FGK	thymus	UBERON:0002370	tissue	DNase-only
ENCSR263SYH	thymus	UBERON:0002370	tissue	DNase-only
ENCSR312XZE	thymus	UBERON:0002370	tissue	DNase-only
ENCSR608QNK	thymus	UBERON:0002370	tissue	DNase-only
ENCSR712ISH	thymus	UBERON:0002370	tissue	DNase-only
ENCSR781CUF	thymus	UBERON:0002370	tissue	DNase-only
ENCSR121UGD	thyroid gland	UBERON:0002046	tissue	DNase-only
ENCSR468UXK	thyroid gland	UBERON:0002046	tissue	DNase-only
ENCSR541LLX	thyroid gland	UBERON:0002046	tissue	DNase-only
ENCSR608WBW	thyroid gland	UBERON:0002046	tissue	DNase-only
ENCSR363UHC	tibial artery	UBERON:0007610	tissue	DNase-only
ENCSR495OBC	tibial artery	UBERON:0007610	tissue	DNase-only
ENCSR719XKT	tibial artery	UBERON:0007610	tissue	DNase-only
ENCSR034GBD	tibial nerve	UBERON:0001323	tissue	DNase-only
ENCSR334KPM	tibial nerve	UBERON:0001323	tissue	DNase-only
ENCSR364ZUN	tibial nerve	UBERON:0001323	tissue	DNase-only
ENCSR469MPM	tongue	UBERON:0001723	tissue	DNase-only
ENCSR598IFM	tongue	UBERON:0001723	tissue	DNase-only
ENCSR073PZL	transverse colon	UBERON:0001157	tissue	DNase-only
ENCSR488SKY	transverse colon	UBERON:0001157	tissue	DNase-only
ENCSR790TQV	transverse colon	UBERON:0001157	tissue	DNase-only
ENCSR991LOR	transverse colon	UBERON:0001157	tissue	DNase-only
ENCSR125REA	trophoblast cell	CL:0000351	primary cell	DNase-only
ENCSR217RHL	trophoblast cell	CL:0000351	in vitro differentiated cells	DNase-only
ENCSR331HUP	trophoblast cell	CL:0000351	primary cell	DNase-only
ENCSR647DTF	trophoblast cell	CL:0000351	primary cell	DNase-only
ENCSR825UFF	trophoblast cell	CL:0000351	primary cell	DNase-only
ENCSR960KWV	type B pancreatic cell	CL:0000169	in vitro differentiated cells	DNase-only
ENCSR952KMU	umbilical cord	UBERON:0002331	tissue	DNase-only
ENCSR398PAI	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR420RMG	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR457UNS	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR519KIQ	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR527PXI	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR545HRY	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR910JVL	upper lobe of left lung	UBERON:0008952	tissue	DNase-only
ENCSR223TKR	upper lobe of right lung	UBERON:0002170	tissue	DNase-only
ENCSR569UEJ	ureter	UBERON:0000056	tissue	DNase-only
ENCSR091VPY	urinary bladder	UBERON:0001255	tissue	DNase-only
ENCSR121CCQ	urothelium cell line	EFO:0005913	cell line	DNase-only
ENCSR930ETB	urothelium cell line	EFO:0005913	cell line	DNase-only
ENCSR081KVZ	uterus	UBERON:0000995	tissue	DNase-only
ENCSR869WII	uterus	UBERON:0000995	tissue	DNase-only
ENCSR123AKF	vagina	UBERON:0000996	tissue	DNase-only
ENCSR738AUI	vagina	UBERON:0000996	tissue	DNase-only
